time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-24T16:43:27.720Z,26.9117,127.2388,85.23,5.1,mww,,60,0.926,1.14,us,us20008uci,2017-03-24T18:20:32.173Z,"79km NW of Ishikawa, Japan",earthquake,7.1,5.1,,,reviewed,us,us
2017-03-24T09:00:56.840Z,3.313,-79.3802,10,5.3,mb,,58,1.606,1.22,us,us20008u8i,2017-03-24T10:04:21.891Z,"136km NW of Mosquera, Colombia",earthquake,4.9,1.8,0.024,577,reviewed,us,us
2017-03-24T08:53:14.330Z,-7.5893,128.0983,167.22,4.7,mb,,97,3.195,1.06,us,us20008u8e,2017-03-24T09:07:08.040Z,"298km ENE of Dili, East Timor",earthquake,5.9,8.6,0.093,35,reviewed,us,us
2017-03-24T04:34:14.370Z,-13.3466,-75.1737,75.05,4.5,mb,,138,2.115,1.23,us,us20008u74,2017-03-24T05:46:05.912Z,"67km SSW of Huancavelica, Peru",earthquake,2.7,8.9,0.091,38,reviewed,us,us
2017-03-24T04:24:30.980Z,37.5994,23.9153,161.86,4.7,mb,,64,1.639,1.15,us,us20008u70,2017-03-24T04:42:00.040Z,"13km SSW of Palaia Fokaia, Greece",earthquake,6.8,7.6,0.058,89,reviewed,us,us
2017-03-24T02:43:51.170Z,36.2108,142.5008,10,4.8,mb,,136,2.147,1.16,us,us20008u6l,2017-03-24T03:01:03.040Z,"159km ENE of Hasaki, Japan",earthquake,5.5,1.9,0.073,57,reviewed,us,us
2017-03-24T01:23:31.490Z,29.1283,67.2024,20.06,4.9,mb,,36,5.618,0.83,us,us20008u6b,2017-03-24T01:41:56.040Z,"58km SW of Dadhar, Pakistan",earthquake,8.3,4.7,0.048,137,reviewed,us,us
2017-03-23T20:27:29.120Z,19.2835,-155.1768333,8.342,4.49,ml,64,150,0.04516,0.12,hv,hv61658206,2017-03-24T16:56:44.608Z,"15km SSE of Volcano, Hawaii",earthquake,0.3,0.22,0.181,39,reviewed,hv,hv
2017-03-23T17:00:30.610Z,-7.1236,155.4991,10.93,4.9,mb,,91,4.416,0.92,us,us20008u36,2017-03-23T17:59:29.040Z,"89km S of Panguna, Papua New Guinea",earthquake,8.4,5.7,0.072,61,reviewed,us,us
2017-03-23T14:35:36.170Z,-7.8881,107.9963,72.45,4.7,mb,,129,2.503,1.07,us,us20008u18,2017-03-23T15:49:14.727Z,"15km SSW of Sindangkerta, Indonesia",earthquake,9.2,6.2,0.088,39,reviewed,us,us
2017-03-23T05:44:00.720Z,-5.2268,145.6987,80.99,4.6,mb,,116,4.396,0.91,us,us20008tyu,2017-03-23T06:07:20.040Z,"10km W of Madang, Papua New Guinea",earthquake,8.5,8.3,0.098,31,reviewed,us,us
